date,province,quantile_01.0,quantile_02.5,quantile_25.0,median,quantile_75.0,quantile_97.5,quantile_99.0,mean
2019-12-23,Hainan,1,1,1,1,2,4,4.490000000000002,1.5576923076923077
2019-12-23,Hebei,1,1,1,1,2,3,3.5600000000000023,1.4666666666666666
2019-12-23,Heilongjiang,1,1,1,1,2,3,4.6199999999999974,1.553191489361702
2019-12-23,Henan,1,1,3,4,6,10,13.06000000000003,4.58
2019-12-23,Hong Kong,1,1,1,1,1,1,1,1
2019-12-23,Hubei,49,49.95,59,68,80.25,159.77499999999992,213.1500000000001,75.97
2019-12-23,Hunan,1,1,2,4,5,10.25,12.049999999999997,3.9583333333333335
2019-12-23,Inner Mongolia,1,1,1,1,1,1,1,1
2019-12-23,Jiangsu,1,1,1,2,3,5.174999999999997,6.539999999999992,2.2432432432432434
2019-12-23,Jiangxi,1,1,1,2,3,7,9,2.3658536585365852
2019-12-23,Jilin,1,1,1,1,1,2,2,1.1428571428571428
2019-12-23,Liaoning,1,1,1,1,2,3.9750000000000014,4.589999999999996,1.7142857142857142
2019-12-23,Ningxia,1,1,1,1,1,2.625,2.8499999999999996,1.25
2019-12-23,Qinghai,1,1,1,1,1,1,1,1
2019-12-23,Shaanxi,1,1,1,1,2,2.8999999999999986,3.5600000000000023,1.488888888888889
2019-12-23,Shandong,1,1,1,2,3,5,6.400000000000006,2.259259259259259
2019-12-23,Shanghai,1,1,1,2,3,6,6.3799999999999955,2.3658536585365852
2019-12-23,Shanxi,1,1,1,1,1.25,2.224999999999998,2.6900000000000013,1.28125
2019-12-23,Sichuan,1,1,1,2,3,5.825000000000003,6.1299999999999955,2.340909090909091
2019-12-23,Taiwan,1,1,1,1,1,1,1,1
2019-12-23,Tianjin,1,1,1,1,2,3,3,1.4390243902439024
2019-12-23,Xinjiang,1,1,1,1,1,2,2,1.2
2019-12-23,Yunnan,1,1,1,1,1,3,3,1.2926829268292683
2019-12-23,Zhejiang,1,1,3,5,7,11,14.030000000000001,5.295918367346939
2019-12-24,Anhui,1,1,2,4,5,8,12.030000000000001,3.8469387755102042
2019-12-24,Beijing,1,1,2,3,4,8.400000000000006,10,3.118279569892473
2019-12-24,Chongqing,1,1,3,4,6,9,9.079999999999984,4.454545454545454
2019-12-24,Fujian,1,1,1,1,2,3.25,4,1.676056338028169
2019-12-24,Gansu,1,1,1,1,1.5,2.349999999999998,2.7399999999999984,1.2962962962962963
2019-12-24,Guangdong,2,2.475,5,6,9,14,15.030000000000015,7.25
2019-12-24,Guangxi,1,1,1,2,3,4.8999999999999915,5.159999999999997,2.1176470588235294
2019-12-24,Guizhou,1,1,1,1,1,2,2,1.0909090909090908
2019-12-24,Hainan,1,1,1,1,2,4,4.399999999999999,1.5737704918032787
2019-12-24,Hebei,1,1,1,1,2,3,3.490000000000002,1.5
2019-12-24,Heilongjiang,1,1,1,1,2,4.299999999999997,6.380000000000003,1.709090909090909
2019-12-24,Henan,1,1,3,5,7,11,15.080000000000041,5.46
2019-12-24,Hong Kong,1,1,1,1,1,1.7249999999999996,1.8900000000000006,1.0833333333333333
2019-12-24,Hubei,55.989999999999995,57.425,69.75,79,98,190.67499999999995,236.30000000000015,88.65
2019-12-24,Hunan,1,1,3,4,6,10.599999999999994,12.079999999999984,4.587628865979381
2019-12-24,Inner Mongolia,1,1,1,1,1,1,1,1
2019-12-24,Jiangsu,1,1,1,2,3,6,6.659999999999997,2.3417721518987342
2019-12-24,Jiangxi,1,1,1,2,3,7.875,9.300000000000011,2.7674418604651163
2019-12-24,Jilin,1,1,1,1,1,2,2,1.1578947368421053
2019-12-24,Liaoning,1,1,1,2,2,3.8500000000000014,4.539999999999999,1.7872340425531914
2019-12-24,Ningxia,1,1,1,1,1,2.6000000000000014,2.84,1.2352941176470589
2019-12-24,Qinghai,1,1,1,1,1,1,1,1
2019-12-24,Shaanxi,1,1,1,1,2,3,4.019999999999996,1.56
2019-12-24,Shandong,1,1,1,2,3,6,6.519999999999982,2.5
2019-12-24,Shanghai,1,1,1,2,3,6.8999999999999915,7.319999999999993,2.635294117647059
2019-12-24,Shanxi,1,1,1,1,2,3,3,1.4324324324324325
2019-12-24,Sichuan,1,1,1,2,3,5.724999999999994,6.090000000000003,2.5652173913043477
2019-12-24,Taiwan,1,1,1,1,1,1,1,1
2019-12-24,Tianjin,1,1,1,1,2,3,3,1.4680851063829787
