"","alpha","sigma"
"518",1.51555983639838,6.36628620502301
"519",1.77937173995885,8.28060273777012
"520",2.41971990653112,7.26729375609905
"521",2.45467179126866,5.67696714778784
"522",1.94332031311819,6.93588446105963
"523",2.22243455711117,7.99299461796593
"524",2.51620269500757,4.90345830101091
"525",1.62550758232441,6.40679064961669
"526",3.07482354578596,6.6881005993887
"527",2.88323487002156,5.24545773212897
"528",1.94760765799444,7.66943054669567
"529",3.37453349245078,6.82847467872428
"530",2.33723483213572,7.36999069978433
"531",2.24625718479315,5.08819453556147
"532",2.55868891539936,4.81781420956366
"533",3.0051068671064,6.1733914365601
"534",2.83274911770584,7.44240121416232
"535",2.67696794161643,6.56464925967827
"536",1.49909571433902,9.40144383397811
"537",2.53477402075028,7.75116254730487
"538",2.2512283117259,7.51733078145517
"539",1.93289301041855,6.50601206397751
"540",1.87904997135441,7.13711551312839
"541",2.04833388716344,7.40795018462201
"542",2.20095280045554,6.38506939255911
"543",1.79058060807908,6.71441002849377
"544",1.93426797147634,5.05321759364978
"545",2.20786976501136,5.55071197732712
"546",1.87781007431558,7.458704282804
"547",2.75500225063584,6.31164840548405
"548",2.21400949568726,6.85617191368078
"549",2.12163885955476,6.33603796172673
"550",1.81608340497874,6.04658957377187
"551",2.41138735853364,5.64752400557145
"552",3.15865621180383,7.30955567539458
"553",2.11965230247688,6.16029323494693
"554",1.80478893954246,7.21558367192472
"555",2.64496777308056,7.53583111301681
"556",3.3926524348265,6.89329506417282
"557",1.6708929236182,8.24575645638942
"558",2.08379323641998,4.58437904458216
"559",2.28600508610352,6.79564886941686
"560",1.84423873366815,7.97570216893137
"561",1.90983116391503,6.4233581236628
"562",2.08822729961335,6.07202621476351
"563",1.57608776375694,7.6737212828636
"564",2.94775743982243,5.99270203156312
"565",1.15434221393709,8.81020003787256
"566",3.16495495434645,7.50275492739066
"567",3.12867389746024,6.00165356616824
"568",2.1790515055282,7.55780324019844
"569",2.69607990992396,7.23353258565398
"570",2.05200486690261,5.86505159462976
"571",1.83468140428964,7.34556449636422
"572",3.21435116337464,7.94372771638958
"573",0.926094892613469,14.4521709362676
"574",2.15751632968165,6.45381338392037
"575",1.3944498048211,6.07719994654274
"576",2.53891273658733,6.98723425118736
"577",2.43882731792538,6.4055667051091
"578",2.31551069351795,6.4241177183091
"579",1.91798917539031,5.94598030321038
"580",2.85265961343196,6.77191358416768
"581",1.96683910287247,7.06471604970921
"582",2.24546706891948,6.76355210070825
"583",3.14151159809872,6.8486373414203
"584",1.98962407835691,5.97000597552369
"585",1.66535319438292,6.83890440087026
"586",2.5034900528866,5.73396691228675
"587",1.90548012416208,9.38477806039582
"588",2.59293603867244,7.33208209747531
"589",2.77665755996455,7.29256591322626
"590",1.57998689035074,6.20635618070865
"591",4.46163848871766,6.5151190982163
"592",1.99787783541585,5.91769269292668
"593",2.54260147180318,7.00230910514025
"594",2.12103936438166,5.90222260755927
"595",2.03553633885487,7.63739358225001
"596",2.52090933940298,7.48523974093217
"597",2.77488512416203,5.76264511727496
"598",2.5532907725013,5.91139676575427
"599",4.3994146723508,6.37565313146416
"600",2.08040017759921,5.91404450716027
"601",2.10308575326592,5.9638248808942
"602",2.50616091236236,7.20025441241847
"603",2.88844692534352,5.8960325287584
"604",1.00659722436574,5.67917828244872
"605",2.60000636986325,7.10409263536034
"606",2.39239068969257,6.21492378897695
"607",2.44564324754857,8.36109824347684
"608",2.30168514842363,6.64049779725991
"609",2.59054780857217,5.67686244456388
"610",2.49490402104757,6.99080385126922
"611",1.92910902784651,7.78029587232387
"612",1.50608901495599,9.67712726548742
"613",2.27039244126653,6.22392611187376
"614",2.73104331802945,5.29887164524731
"615",2.17736114676685,5.64225007207492
"616",2.4914038513148,6.29440707184913
"617",2.29559809976973,8.71280099802542
"618",2.43728522540123,6.12562015425691
"619",4.61067146382913,6.30544260702163
"620",3.05287984416045,6.27393281289619
"621",2.90236391306021,9.1213150563403
"622",2.43626684376561,6.88027272309522
"623",2.17563252950258,5.16028420401251
"624",2.21661349154729,5.47519486298789
"625",3.11114679042233,7.9663656142133
"626",1.91803442728464,6.52545413574198
"627",2.28059253956915,8.04198284963643
"628",1.8326093530836,5.8847360812873
"629",2.3544957512027,7.6802031438156
"630",2.06592021022692,5.26160761591494
"631",2.89880754039693,5.61164029800188
"632",2.29720569741103,6.15903395923945
"633",2.61790960519547,7.86685312802753
"634",1.8333751409029,6.1256436688454
"635",2.20951223486167,4.99509786234586
"636",2.81002834701841,5.72482693673903
"637",2.308980808166,6.07664839866278
"638",1.93812961982057,7.05660133282076
"639",1.98010603089383,6.47961677168016
"640",2.60593584923049,6.48490426809445
"641",2.40024224029852,5.33898633081123
"642",2.00170627355874,6.045115893321
"643",2.08935043839995,6.65700530437148
"644",2.67043964821731,5.60074062814813
"645",3.15513650832716,6.74729970587481
"646",1.6767881115484,5.8358169331978
"647",1.77621982647475,8.22746252183953
"648",2.27594122028339,6.26459922441703
"649",2.41985667385389,7.77517313607496
"650",2.21234841136723,6.81024567516794
"651",2.46911166096814,7.23400508313114
"652",2.12747088960109,6.61900763770702
"653",2.72371736648549,5.99729144434239
"654",2.12627126365046,6.56275860063111
"655",2.23110229781055,7.73289288892338
"656",2.9127706238149,5.63284813648201
"657",3.54015792345262,6.67145835997478
"658",2.52372944236991,6.43236841019025
"659",2.91391314429139,5.96996422052883
"660",2.80015248980812,5.90961979634882
"661",1.7450153272411,6.60141378543112
"662",2.03130905883622,7.7304685517749
"663",2.4875276348061,7.10754116220932
"664",2.96248378201578,6.7142627938326
"665",2.05254121636901,7.10244202078444
"666",2.52252037923651,5.85477623472379
"667",2.59267912217499,6.99411734137065
"668",2.70313817963372,6.48298069732288
"669",2.52999126868488,6.24550362863997
"670",2.03415130585679,8.38262020342348
"671",3.68858344568829,5.87963400908968
"672",1.8284174197884,5.56187096377182
"673",2.76234773125598,5.62131672726324
"674",1.99788843419899,6.54827201679847
"675",2.56309502432589,7.23031410906837
"676",2.19081093128375,6.10386341127678
"677",1.88373335193595,6.04365624111003
"678",2.43210131792931,6.6063483565965
"679",3.28899557917224,6.58192434812721
"680",3.21544690413802,6.32273514453238
"681",2.77952585318085,6.226774425856
"682",2.7737246280567,6.21506378323882
"683",1.53795744307598,7.13948802657608
"684",2.4884328189967,7.19574386920936
"685",1.83469402431608,5.47334795059951
"686",3.78417788249112,6.96212332377575
"687",2.5071404187085,5.95597840990771
"688",2.50975304779675,6.73791845927608
"689",2.57315590848109,8.22005432146602
"690",2.25441801611412,7.7471590152629
"691",1.94877581503651,5.8034309257483
"692",2.06023552117398,7.08224134289752
"693",2.17739343594672,5.35607000195071
"694",3.27972416971211,5.84616511561933
"695",2.60489683805497,5.2181676684201
"696",2.18920547224035,5.58687618144023
"697",2.87595412083795,6.8873632567538
"698",3.01786269074978,7.38968829092236
"699",2.84846601993261,6.64285381905547
"700",1.82607001436307,8.42321975241474
"701",1.91554271552975,6.14860736779923
"702",2.6777775115614,7.06793685779757
"703",1.85392852124384,6.18114170614642
"704",2.32304354466605,7.77455447676985
"705",2.65916516575539,7.33098938385533
